item_name,hour,day_of_week,is_weekend,is_holiday,freshness,inventory,price,temperature,is_rainy,sales_last_1h,sales_yesterday_same_hour,sales_last_week_same_hour,sales_next_hour
土豆,0,6,1,0,0.983,0.0,5.2,10.0,0,0.0,0.0,0.0,0.0
芒果,0,6,1,0,0.618,224.64,19.5,12.7,0,0.0,0.0,0.0,0.0
苹果,0,6,1,0,0.92,170.9,12.0,8.9,0,0.0,0.0,0.0,0.0
草莓,0,6,1,0,0.465,274.43,24.0,7.4,0,0.0,0.0,0.0,0.0
葡萄,0,6,1,0,0.661,248.89,17.0,11.0,0,0.0,0.01,0.0,0.0
西瓜,0,6,1,0,0.915,33.07,6.9,11.8,1,0.0,0.0,0.0,0.0
西红柿,0,6,1,0,0.847,102.54,10.35,8.7,1,0.16,0.0,0.0,0.0
香蕉,0,6,1,0,0.765,174.22,5.6,9.7,0,0.0,0.0,0.0,0.0
黄瓜,0,6,1,0,0.875,56.61,9.1,9.2,1,0.26,0.0,0.0,0.0
土豆,1,6,1,0,0.983,0.0,4.6,9.3,0,0.0,0.0,0.0,0.0
芒果,1,6,1,0,0.613,224.64,19.5,9.2,1,0.0,0.0,0.0,0.0
苹果,1,6,1,0,0.919,170.9,12.0,8.3,0,0.0,0.0,0.0,0.0
草莓,1,6,1,0,0.459,274.43,24.0,9.3,1,0.0,0.0,0.0,0.0
葡萄,1,6,1,0,0.657,248.89,14.0,10.4,0,0.03,0.14,0.05,0.0
西瓜,1,6,1,0,0.914,33.07,4.2,7.5,0,0.0,0.0,0.0,0.0
西红柿,1,6,1,0,0.845,102.54,7.65,9.1,1,0.0,0.0,0.0,0.0
香蕉,1,6,1,0,0.762,174.22,8.0,8.1,0,0.2,0.0,0.0,0.07
黄瓜,1,6,1,0,0.872,56.61,5.95,9.6,0,0.0,0.33,0.09,0.0
土豆,2,6,1,0,0.982,0.0,4.0,8.9,0,0.0,0.0,0.0,0.0
芒果,2,6,1,0,0.608,224.64,15.0,9.0,0,0.0,0.0,0.0,0.0
苹果,2,6,1,0,0.917,170.9,12.0,8.1,0,0.0,0.0,0.0,0.0
草莓,2,6,1,0,0.453,274.43,24.0,9.5,0,0.0,0.0,0.0,0.0
葡萄,2,6,1,0,0.653,248.89,17.0,6.7,0,0.0,0.0,0.0,0.0
